            VLM2 -   15.0-46.00m/s    
      -8.0975         0.7766747  
      -7.8925           1.06384  
      -7.6875          1.227977  
      -7.4825          1.333881  
      -7.2775          1.406477  
      -7.0725          1.458097  
      -6.8675          1.495669  
      -6.6625          1.523409  
      -6.4575          1.544023  
      -6.2525          1.559327  
      -6.0475          1.570578  
      -5.8425          1.578669  
      -5.6375           1.58425  
      -5.4325          1.587801  
      -5.2275          1.589686  
      -5.0225          1.590178  
      -4.8175          1.589491  
      -4.6125          1.587788  
      -4.4075          1.585196  
      -4.2025          1.581817  
      -3.9975          1.577726  
      -3.7925          1.572985  
      -3.5875          1.567638  
      -3.3825          1.561721  
      -3.1775          1.555256  
      -2.9725           1.54826  
      -2.7675           1.54074  
      -2.5625          1.532698  
      -2.3575           1.52413  
      -2.1525          1.515024  
      -1.9475          1.505366  
      -1.7425          1.495132  
      -1.5375          1.484295  
      -1.3325           1.47282  
      -1.1275          1.460663  
      -0.9225          1.447768  
      -0.7175           1.43406  
      -0.5125          1.419429  
      -0.3075          1.403687  
      -0.1025          1.386407  
       0.1025          1.386407  
       0.3075          1.403687  
       0.5125          1.419429  
       0.7175           1.43406  
       0.9225          1.447768  
       1.1275          1.460663  
       1.3325           1.47282  
       1.5375          1.484295  
       1.7425          1.495132  
       1.9475          1.505366  
       2.1525          1.515024  
       2.3575           1.52413  
       2.5625          1.532698  
       2.7675           1.54074  
       2.9725           1.54826  
       3.1775          1.555256  
       3.3825          1.561721  
       3.5875          1.567638  
       3.7925          1.572985  
       3.9975          1.577726  
       4.2025          1.581817  
       4.4075          1.585196  
       4.6125          1.587788  
       4.8175          1.589491  
       5.0225          1.590178  
       5.2275          1.589686  
       5.4325          1.587801  
       5.6375           1.58425  
       5.8425          1.578669  
       6.0475          1.570578  
       6.2525          1.559327  
       6.4575          1.544023  
       6.6625          1.523409  
       6.8675          1.495669  
       7.0725          1.458097  
       7.2775          1.406477  
       7.4825          1.333881  
       7.6875          1.227977  
       7.8925           1.06384  
       8.0975         0.7766747  

